name,year,company_id,company_name,company_url,company_country,company_startyear
Animal Crossing: Wild World,2005,421,Nintendo EAD,https://www.igdb.com/companies/nintendo-ead,Japan,1989
Animal Kingdom: Wildlife Expedition,2009,716,Natsume Inc.,https://www.igdb.com/companies/natsume-inc,United States,1995
Animaniacs: The Great Edgar Hunt,2005,833,Ignition Entertainment,https://www.igdb.com/companies/ignition-entertainment,,
Animaniacs: The Great Edgar Hunt,2005,50,WB Games,https://www.igdb.com/companies/wb-games,United States,1993
Animaniacs: The Great Edgar Hunt,2005,259,Warthog Games,https://www.igdb.com/companies/warthog-games,,
Ape Escape,1999,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ape Escape,1999,400,SCE Japan Studio,https://www.igdb.com/companies/sce-japan-studio,Japan,1993
Ape Escape 2,2002,10100,Sony Interactive Entertainment,https://www.igdb.com/companies/sony-interactive-entertainment,Japan,2016
Ape Escape 2,2002,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ape Escape 2,2002,400,SCE Japan Studio,https://www.igdb.com/companies/sce-japan-studio,Japan,1993
Ape Escape 3,2005,400,SCE Japan Studio,https://www.igdb.com/companies/sce-japan-studio,Japan,1993
Ape Escape 3,2005,334,Sony Computer Entertainment Europe,https://www.igdb.com/companies/sony-computer-entertainment-europe,,
Ape Escape Academy,2004,2216,Shift,https://www.igdb.com/companies/shift,Japan,1996
Ape Escape Academy,2004,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Ape Escape: On the Loose,2005,27081,Sony Computer Entertainment America,https://www.igdb.com/companies/sony-computer-entertainment-america,,
Ape Escape: On the Loose,2005,23687,"SIMS Co., Ltd.",https://www.igdb.com/companies/sims-co-dot-ltd,,
Ape Escape: On the Loose,2005,18585,SIMS,https://www.igdb.com/companies/sims,Japan,1991
Ape Escape: On the Loose,2005,400,SCE Japan Studio,https://www.igdb.com/companies/sce-japan-studio,Japan,1993
Apex,2003,592,Milestone,https://www.igdb.com/companies/milestone,Italy,1994
Apex,2003,2406,"Atari, Inc.",https://www.igdb.com/companies/atari-inc,United States,2003
Apocalypse,1998,141,Virgin Interactive Entertainment (Europe) Ltd.,https://www.igdb.com/companies/virgin-interactive-entertainment-europe-ltd,United Kingdom,1983
Apocalypse,1998,28078,Miracle Games,https://www.igdb.com/companies/miracle-games,,
Apollo Justice: Ace Attorney,2007,37,Capcom,https://www.igdb.com/companies/capcom,Japan,1979
Aquaman: Battle for Atlantis,2003,1289,DC Comics,https://www.igdb.com/companies/dc-comics,,
Aquaman: Battle for Atlantis,2003,821,TDK Mediactive,https://www.igdb.com/companies/tdk-mediactive,,
Aquaman: Battle for Atlantis,2003,1908,Lucky Chicken Games,https://www.igdb.com/companies/lucky-chicken-games,,
Arc Rise Fantasia,2009,782,Marvelous Entertainment,https://www.igdb.com/companies/marvelous-entertainment,Japan,1997
Arc Rise Fantasia,2009,833,Ignition Entertainment,https://www.igdb.com/companies/ignition-entertainment,,
Arc Rise Fantasia,2009,2092,Imageepoch,https://www.igdb.com/companies/imageepoch,Japan,2005
Arc the Lad,1995,11741,G-Craft,https://www.igdb.com/companies/g-craft,,
Arc the Lad,1995,907,Sony Computer Entertainment of America,https://www.igdb.com/companies/sony-computer-entertainment-of-america,United States,
Arc the Lad,1995,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Arc the Lad II,1996,11741,G-Craft,https://www.igdb.com/companies/g-craft,,
Arc the Lad II,1996,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Arc the Lad III,1999,11741,G-Craft,https://www.igdb.com/companies/g-craft,,
Arc the Lad III,1999,45,"Sony Computer Entertainment, Inc. (SCEI)",https://www.igdb.com/companies/sony-computer-entertainment-inc-scei,Japan,1993
Arc the Lad: End of Darkness,2004,11757,Cattle Call,https://www.igdb.com/companies/cattle-call,Japan,1998
Arc the Lad: End of Darkness,2004,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Arc the Lad: End of Darkness,2004,263,Namco,https://www.igdb.com/companies/namco,Japan,1969
Arc the Lad: Twilight of the Spirits,2003,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Arc the Lad: Twilight of the Spirits,2003,11757,Cattle Call,https://www.igdb.com/companies/cattle-call,Japan,1998
Arcana Heart,2007,45645,Atrativa,https://www.igdb.com/companies/atrativa,,
Arcania: Gothic 4,2010,236,DreamCatcher Interactive,https://www.igdb.com/companies/dreamcatcher-interactive,Canada,1996
Arcania: Gothic 4,2010,74,CyberFront,https://www.igdb.com/companies/cyberfront,Japan,1968
Arcania: Gothic 4,2010,469,JoWooD Entertainment AG,https://www.igdb.com/companies/jowood-entertainment-ag,Austria,1995
Arcania: Gothic 4,2010,580,Spellbound Entertainment,https://www.igdb.com/companies/spellbound-entertainment,Germany,1994
Arcania: Gothic 4,2010,7336,Trinigy,https://www.igdb.com/companies/trinigy,Germany,
Area 51,2005,566,Midway,https://www.igdb.com/companies/midway,United States,1988
Area 51,2005,2536,Midway Studios Austin,https://www.igdb.com/companies/midway-studios-austin,,
Area 51,2005,40013,Fargus Multimedia,https://www.igdb.com/companies/fargus-multimedia,Russian Federation,1996
Armored Core,1997,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core,1997,1566,Agetec,https://www.igdb.com/companies/agetec,,
Armored Core,1997,13634,Sony Computer Entertainment,https://www.igdb.com/companies/sony-computer-entertainment,Japan,1993
Armored Core 2,2000,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core 2,2000,1566,Agetec,https://www.igdb.com/companies/agetec,,
Armored Core 2,2000,667,Crave Entertainment,https://www.igdb.com/companies/crave-entertainment,United States,1997
Armored Core 2: Another Age,2001,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core 2: Another Age,2001,1566,Agetec,https://www.igdb.com/companies/agetec,,
Armored Core 2: Another Age,2001,2083,Metro 3D,https://www.igdb.com/companies/metro-3d,,
Armored Core 3,2002,1566,Agetec,https://www.igdb.com/companies/agetec,,
Armored Core 3,2002,2083,Metro 3D,https://www.igdb.com/companies/metro-3d,,
Armored Core 3,2002,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core 4,2006,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core 4,2006,112,Sega,https://www.igdb.com/companies/sega,Japan,2020
Armored Core 4,2006,445,505 Games,https://www.igdb.com/companies/505-games,United States,2006
Armored Core V,2012,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core V,2012,248,Bandai Namco Entertainment,https://www.igdb.com/companies/bandai-namco-entertainment,Japan,2015
Armored Core: For Answer,2008,1012,FromSoftware,https://www.igdb.com/companies/fromsoftware,Japan,1986
Armored Core: Last Raven,2005,1566,Agetec,https://www.igdb.com/companies/agetec,,
