name,url,year,rating,votes,plot
Apex,https://www.imdb.com/title/tt0415227/?ref_=adv_li_tt,2003,5.7,14,"Beginning with a small workshop you must plan, develop, launch and race your claim at producing a new prototype sports car."
Apocalypse,https://www.imdb.com/title/tt0176457/?ref_=adv_li_tt,1998,7.3,792,Dystopian third person shooter in which a Rambo-like scientist must battle the armies of his demonically possessed mentor who plans to bring about the Apocalypse using the Four Horsemen masked as four powerful people to corrupt the world.
Apollo Justice: Ace Attorney,https://www.imdb.com/title/tt2805090/?ref_=adv_li_tt,2007,7.3,190,"Apollo Justice, a rookie attorney, befriends a famous attorney who quit being one seven years earlier. Apollo solves four different cases as an attorney and also learns how and why that same attorney lost his badge."
Aquaman: Battle for Atlantis,https://www.imdb.com/title/tt0405700/?ref_=adv_li_tt,2003,3.5,93,"After being presumed dead, Black Manta has returned and intends to destroy kingdom of Atlantis. In order to protect his subjects and the rest of the seven seas, Aquaman must venture into his city, save his people, and defeat Black Manta."
Arc Rise Fantasia,https://www.imdb.com/title/tt1890354/?ref_=adv_li_tt,2009,5.6,7,Add a Plot
Arc the Lad,https://www.imdb.com/title/tt0455907/?ref_=adv_li_tt,1995,7.7,25,"Only young Arc possesses the power to stop the impending destruction, as he fights his way to unsealing the power of the Ark, with help from his friends Kukuru, Poco, Tosh, Gogen, and Iga."
Arc the Lad II,https://www.imdb.com/title/tt0455908/?ref_=adv_li_tt,1996,8.2,20,"Elc, a bounty hunter has a tragic past but he joins forces with Arc to to stop the minions of The Dark One."
Arc the Lad III,https://www.imdb.com/title/tt0455909/?ref_=adv_li_tt,1999,6.7,10,Alec will continue Arc's heroic quest to save the Earth from evil.
Arc the Lad: End of Darkness,https://www.imdb.com/title/tt13066558/?ref_=adv_li_tt,2004,0.0,0,Edda is a young man who has a boring life on a island but soon he meets a mysterious woman named Kirika. He soon finds out he is an exorcist and a hunter.
Arc the Lad: Twilight of the Spirits,https://www.imdb.com/title/tt0373684/?ref_=adv_li_tt,2003,7.9,73,"Two heroes, Darc and Kharg go on a quest to obtain the Great Spirit Stones."
Arcade Party Pak,https://www.imdb.com/title/tt0292927/?ref_=adv_li_tt,1999,6.9,12,Add a Plot
Arcana Heart,https://www.imdb.com/title/tt1220703/?ref_=adv_li_tt,2007,6.1,28,Add a Plot
Arcania: Gothic 4,https://www.imdb.com/title/tt1753447/?ref_=adv_li_tt,2010,5.2,153,Add a Plot
Area 51,https://www.imdb.com/title/tt0423828/?ref_=adv_li_tt,2005,7.1,519,"In a routine mission, Soldier Ethan Cole must survive a degenerative contamination and find out what is behind everything, which includes events and cases about UFO's and non-terrestrial life covered by the government."
Armored Core,https://www.imdb.com/title/tt0290426/?ref_=adv_li_tt,1997,7.5,51,"In the presumably distant future, the vast majority of Earth's population is wiped out by a cataclysmic war known as the Great Destruction. The harsh conditions that result force the few ... See full summary »"
